id,周期,场地编号,场地名称,wg,xig,结构阻尼比,减震比,miu,zeta,kappa,gamma,alpha,ok
103,0.1,10,设计地震第2组+III,11.42,0.8,0.02,0.8,0.11699411360170031,0.00015731155989551215,0.0032806620246221274,1.0002524524150418,7.77216011397023,False
104,0.1,10,设计地震第2组+III,11.42,0.8,0.02,0.9,0.8881332940469182,0.9900891705609051,0.13284982094801828,0.9196164912278628,-0.7382254206777465,True
105,0.1,10,设计地震第2组+III,11.42,0.8,0.05,0.5,0.9939895197301322,0.9998330920922242,0.29575842094241395,0.8983401599161985,39.295075744713046,False
106,0.1,10,设计地震第2组+III,11.42,0.8,0.05,0.6,0.8694860180429073,0.9998499676574019,0.30690793921729875,0.8983386554812262,29.30793989708814,False
107,0.1,10,设计地震第2组+III,11.42,0.8,0.05,0.7,0.9846764056732983,0.9991097897224858,0.2888082212865965,0.8985387394322284,19.308554955991067,False
108,0.1,10,设计地震第2组+III,11.42,0.8,0.05,0.8,0.9476942192591296,0.9975254013950035,0.31841331212530516,0.8984219213733495,9.325538468107982,False
109,0.1,10,设计地震第2组+III,11.42,0.8,0.05,0.9,0.44213059873976257,0.0005573779386086608,0.01236516246471675,0.9929877012138814,-1.210715922059645,False
110,0.1,11,设计地震第3组+III,9.67,0.8,0.02,0.5,0.8370217966811493,0.9991781935034557,0.2955465860333039,0.9032055150663714,39.79399441209699,False
111,0.1,11,设计地震第3组+III,9.67,0.8,0.02,0.6,0.7660556194637389,0.9995498582687218,0.29032910831517805,0.9032812050649156,29.7978553452108,False
112,0.1,11,设计地震第3组+III,9.67,0.8,0.02,0.7,0.9835600628224019,0.9996202886076293,0.2795415616001305,0.9032219088175678,19.77695179560023,False
113,0.1,11,设计地震第3组+III,9.67,0.8,0.02,0.8,0.9951843395470406,0.999147512012329,0.27569256183276,0.9033203235002261,9.782751426005392,False
114,0.1,11,设计地震第3组+III,9.67,0.8,0.02,0.9,0.7203632497814539,0.00042924285254808403,0.01847695573029634,1.0193745345338294,-7.1163450082119155,False
